Date,Open,High,Low,Close,Volume
2019-03-21,1946.4,1946.4,1870.7,1888.8,25234.3
2019-03-22,1932.8,2123.2,1912,2108,76689.3
2019-03-25,2108.8,2170.4,2068.6,2112,62833.7
2019-03-26,2029.6,2053.6,1988,1999.2,31690.2
2019-03-27,1995.2,2111.2,1980.8,2029.6,39406.55
2019-03-28,2016.8,2042.4,1980.8,1985.6,18311.55
2019-03-29,1948.8,1959.2,1918.12,1921.6,22520.95
2019-04-01,1904.8,1918.4,1883.6,1889.6,17459.95
2019-04-02,1897.6,1905.6,1876,1884,14032.35
2019-04-03,1853.6,1925.52,1849.6,1897.6,20802.95
2019-04-04,1888,1912,1867.2,1881.6,19244.55
2019-04-05,1856.8,1868,1840,1840.8,18002.9
2019-04-08,1848,1859.2,1828.8,1832.8,14162.7
2019-04-09,1859.2,1908,1847.2,1897.6,17242.7
2019-04-10,1877.6,1892.8,1842.4,1846.4,15872.05
2019-04-11,1821.6,1832.8,1802.4,1807.2,19123.9
2019-04-12,1770.4,1773.6,1720.4,1724,26974.05
2019-04-15,1700,1772.8,1697.6,1704,27078.5
2019-04-16,1696,1703.6,1672.8,1692.8,22761.15
2019-04-17,1661.6,1732,1661.38,1702.4,21176.6
2019-04-18,1701.6,1731.2,1673.6,1674.4,23435.9
2019-04-22,1692.8,1706.4,1659.2,1660.8,27024.55
2019-04-23,1651.2,1658.4,1635.2,1646.4,16454.1
2019-04-24,1648,1688,1645.6,1685.6,21144.3
2019-04-25,1707.2,1770.4,1686.4,1720,25765.75
2019-04-26,1707.2,1730.4,1661.6,1664,22356.4
2019-04-29,1673.6,1688.8,1660,1687.2,13019.45
2019-04-30,1686.4,1736,1677.84,1689.6,28314.65
2019-05-01,1672.8,1752,1659.94,1752,30283.7
2019-05-02,1734.4,1823.2,1727.2,1754.4,41692.1
2019-05-03,1708.8,1712,1664,1671.2,28473.2
2019-05-06,1838.4,1855.2,1753.6,1760.8,60374.5
2019-05-07,1866.4,2108.2,1850.4,2056,80167.8
2019-05-08,2036,2076,1948.8,2016,45664.15
2019-05-09,2122.4,2188.8,2004.8,2013.6,58080.95
2019-05-10,2028,2080,1856,1857.6,45196.2
2019-05-13,2089.6,2144,2027.2,2128.8,53033.95
2019-05-14,2054.4,2067,1988.8,2014.4,31395.75
2019-05-15,2073.6,2086.2,1925.6,1931.2,29937.8
2019-05-16,1916,1916.8,1834.4,1849.6,28507
2019-05-17,1923.2,1925.6,1824,1875.2,30658.8
